sku,price,special_price,weight,ups,shipping_cost
"RCP1868435","787.5000","787.5000","25.7000","N","",
"RCP1868436","393.0000","393.0000","20.6000","N","",
"RCP1868438","780.0000","780.0000","28.5000","N","",
"RCP1868440","720.0000","720.0000","25.4000","N","",
"RCP1868621","780.0000","780.0000","26.0000","N","",
"RCP1868991","120.0600","46.3320","1.0000","Y","15.6078",
"RCP1878364","168.2100","65.2104","9.8300","Y","21.8673",
"RCP1878367","161.7300","62.6940","5.8000","Y","21.0249",
"RCP1878368","14.2000","5.5080","0.6000","Y","1.8460",
"RCP1878370","65.2200","25.2828","1.2000","Y","8.4786",
"RCP1880994","49.9100","19.3428","1.0000","Y","6.4883",
"RCP1881749","277.8300","107.6976","20.6000","Y","30.5613",
"RCP1881750","333.4000","125.2814","27.0000","Y","36.6740",
"RCP1881781","388.9900","148.0396","28.6000","Y","42.7889",
"RCP1881782","74.0900","28.7172","1.7000","Y","9.6317",
"RCP1881783","92.6200","35.9208","2.5500","Y","12.0406",
"RCP1901WHI","4.8100","1.8684","0.0820","Y","0.6253",
"RCP1905WHI","8.4900","3.2832","0.2280","Y","1.1037",
"RCP1906WHI","11.1300","4.2984","0.2580","Y","1.4469",
"RCP1933WHI","5.7800","5.7800","0.1200","N","",
"RCP1934WHI","10.0500","10.0500","0.2500","N","",
"RCP1938WHI","12.2200","4.7196","1.0000","Y","1.5886",
"RCP1966RED","23.9300","9.2340","1.0000","Y","3.1109",
"RCP1967RED","31.0600","11.9880","0.2700","Y","4.0378",
"RCP1992GRA","88.0700","61.6500","1.5000","Y","",
"RCP1993GRA","143.5700","100.5000","2.2000","Y","",
"RCP1994YEL","37.8200","14.6016","3.0000","Y","4.9166",
"RCP2005CHA","12.2200","4.7200","0.4130","Y","1.5886",
"RCP20566300","608.5700","426.0000","2.6000","Y","66.9427",
"RCP22564210","608.5700","426.0000","2.6000","Y","",
"RCP2455WHI","37.9200","14.6340","2.0000","Y","4.9296",
"RCP2531","62.1400","43.5000","2.3300","Y","",
"RCP2532","84.4300","59.1000","1.4000","Y","",
